,Place,room,bed,Condition,price,Rating,reviews
0,Doi Saket,Standard Double or Twin Room with Lake View,Beds: 1 double or 2 singles,Very good,32.0,8.4,100.0
1,Ko Larn,Budget Double Room,1 double bed,Very good,34.0,8.3,641.0
2,Bang Tao Beach,Premium Studio Room,Entire studio • 1 bathroom • 538.2feet²2 single beds,Very good,350.0,8.1,1040.0
3,San Pa Tong,Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,51.0,8.6,150.0
4,"White Sand Beach, Ko Chang",Partner offer option,1 large double bed,Fabulous,43.0,8.7,1403.0
5,Bang Sare,One Bedroom Pool Villa,"Entire villa • 1 bedroom • 1 bathroom • 1,829.9feet²1 extra-large double bed",Very good,192.0,8.3,184.0
6,Ko Yao Noi,Superior Studio with Free Kayak 30 minutes for 2 persons per stay,Multiple bed types,Fabulous,43.0,8.9,359.0
7,"Kata Noi Beach, Kata Beach",Deluxe Double or Twin Room with Sea View,Beds: 1 double or 2 singles,Very good,43.0,8.1,1148.0
8,Mae Nam,Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 301.4feet²1 extra-large double bed,Very good,43.0,8.1,1466.0
9,Choeng Mon Beach,Deluxe Cottage,Entire bungalow • 1 bedroom • 1 bathroom • 409feet²1 large double bed,Superb,43.0,9.1,437.0
10,Mae Nam,Deluxe Double Room with Plunge Pool,1 extra-large double bed,Superb,43.0,9.0,166.0
11,Panwa Beach,Bay View Suite,Private suite1 extra-large double bed,Fabulous,43.0,8.7,681.0
12,Mae Salong Nai,Standard Suite,Private suite1 extra-large double bed,Fabulous,43.0,8.7,163.0
13,"304 Industrial Park, Si Maha Phot",Superior Double Room,1 double bed,Very good,46.0,8.3,106.0
14,Surin Beach,Grand Surin Suite 1 King,Private suite • 1 bedroom • 1 living room • 1 bathroom • 753.5feet²1 extra-large double bed,Superb,43.0,9.0,278.0
15,Kata Beach,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,43.0,8.6,697.0
16,Ban Khlong Muang,One-Bedroom Family Suite,2 double beds,Good,70.0,7.8,136.0
17,Lom Kao,Standard Double Room,1 double bed,Very good,22.0,8.4,118.0
18,Lipa Noi,Superior Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 430.6feet²1 double bed,Fabulous,79.0,8.9,286.0
19,Ao Nang Beach,Deluxe Double Room with Private Pool,1 large double bed,Fabulous,79.0,8.7,546.0
20,"Kai Bae Beach, Ko Chang",Deluxe Room,1 extra-large double bed,Superb,125.0,9.0,372.0
21,Mae Nam,Luxury One-Bedroom Tented Villa,Tent1 large double bed,Very good,130.0,8.5,517.0
22,"Klong Prao Beach, Ko Chang",Standard Double or Twin Room,Beds: 1 double or 2 singles,Very good,43.0,8.4,798.0
23,"Samae Beach, Ko Larn",Deluxe Double Room (2 Adults + 1 Child),1 extra-large double bed,Very good,43.0,8.2,832.0
24,"Kata Noi Beach, Kata Beach",Deluxe Double or Twin Room,Multiple bed types,Good,43.0,7.7,485.0
25,Klaeng,Deluxe King Room with Mountain View,"2 beds (1 double, 1 extra-large double)",Very good,92.0,8.0,334.0
26,Ban Krut,Standard Double or Twin Room,Beds: 1 double or 2 singles,Very good,43.0,8.2,353.0
27,Phuket Town,Deluxe Access with Schedule Boat Transfer,Beds: 1 double or 2 singles,Very good,43.0,8.5,1245.0
28,Chanthaburi,Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,59.0,8.6,220.0
29,Ban Pak Pra (1),Superior Villa,Entire studio • 1 bathroom • 538.2feet²Multiple bed types,Very good,95.0,8.3,152.0
30,"Bang Niang Beach, Khao Lak",Upper Pool Access Room,Beds: 1 double or 2 singles,Fabulous,75.0,8.7,308.0
31,Kata Beach,Superior Double or Twin Room,1 double bed,Fabulous,43.0,8.7,526.0
32,Lipa Noi,Deluxe Double Room,1 extra-large double bed,Good,43.0,7.1,111.0
33,Mae Sot,Deluxe King Room,1 extra-large double bed,Good,47.0,7.7,133.0
34,Ko Mak,Superior Double Room with Spa Bath,1 extra-large double bed,Superb,136.0,9.2,364.0
35,Doi Saket,Standard Double or Twin Room with Lake View,Beds: 1 double or 2 singles,Very good,32.0,8.4,100.0
36,Ko Larn,Budget Double Room,1 double bed,Very good,34.0,8.3,641.0
37,Bang Tao Beach,Premium Studio Room,Entire studio • 1 bathroom • 538.2feet²2 single beds,Very good,350.0,8.1,1040.0
38,San Pa Tong,Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,51.0,8.6,150.0
39,"White Sand Beach, Ko Chang",Deluxe-Hillside,Beds: 1 double or 2 singles,Fabulous,170.0,8.7,1403.0
40,Bang Sare,One Bedroom Pool Villa,"Entire villa • 1 bedroom • 1 bathroom • 1,829.9feet²1 extra-large double bed",Very good,192.0,8.3,184.0
41,Ko Yao Noi,Superior Studio with Free Kayak 30 minutes for 2 persons per stay,Multiple bed types,Fabulous,226.0,8.9,359.0
42,Mae Nam,Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 301.4feet²1 extra-large double bed,Very good,68.0,8.1,1466.0
43,Choeng Mon Beach,Deluxe Cottage,Entire bungalow • 1 bedroom • 1 bathroom • 409feet²1 large double bed,Superb,217.0,9.1,437.0
44,Mae Nam,Deluxe Double or Twin Room with Balcony,1 extra-large double bed,Superb,232.0,9.0,166.0
45,Panwa Beach,Bay View Suite,Private suite1 extra-large double bed,Fabulous,341.0,8.7,681.0
46,Mae Salong Nai,Standard Suite,Private suite1 extra-large double bed,Fabulous,129.0,8.7,163.0
47,"304 Industrial Park, Si Maha Phot",Superior Double Room,1 double bed,Very good,46.0,8.3,106.0
48,Surin Beach,Grand Surin Suite 1 King,Private suite • 1 bedroom • 1 living room • 1 bathroom • 753.5feet²1 extra-large double bed,Superb,749.0,9.0,278.0
49,Kata Beach,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,184.0,8.6,697.0
50,Lom Kao,Standard Double Room,1 double bed,Very good,22.0,8.4,118.0
51,Lipa Noi,Superior Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 430.6feet²1 double bed,Fabulous,79.0,8.9,286.0
52,Ao Nang Beach,Deluxe Double Room with Private Pool,1 large double bed,Fabulous,88.0,8.7,546.0
53,"Kai Bae Beach, Ko Chang",Deluxe Room,1 extra-large double bed,Superb,147.0,9.0,372.0
54,Mae Nam,Luxury One-Bedroom Tented Villa,Tent1 large double bed,Very good,130.0,8.5,517.0
55,"Kata Noi Beach, Kata Beach",Deluxe Double or Twin Room,Multiple bed types,Good,111.0,7.7,485.0
56,Phuket Town,Deluxe Room with Schedule Boat Transfer,Beds: 1 double or 2 singles,Very good,190.0,8.5,1245.0
57,Chanthaburi,Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,59.0,8.6,220.0
58,"Bang Niang Beach, Khao Lak",Upper Pool Access Room,Beds: 1 double or 2 singles,Fabulous,75.0,8.7,308.0
59,Kata Beach,Superior Double or Twin Room,1 double bed,Fabulous,208.0,8.7,526.0
60,Lipa Noi,Deluxe Double Room,1 extra-large double bed,Good,48.0,7.1,111.0
61,"Haad Rin Nai, Haad Rin",Garden Bungalow with Twin bed,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²2 single beds,Very good,129.0,8.3,230.0
62,"Chaweng Beachfront, Chaweng",Standard Double Room,1 extra-large double bed,Very good,129.0,8.1,783.0
63,"Chaweng Beachfront, Chaweng",Superior King Room - Garden Wing,1 extra-large double bed,Very good,162.0,8.4,277.0
64,"Phra Ae Beach, Ko Lanta",Standard Double Room,1 extra-large double bed,Superb,78.0,9.0,51.0
65,"Bangsak Beach, Khao Lak",Deluxe Garden Balcony - King Bed,1 extra-large double bed,Superb,214.0,9.1,341.0
66,Mae Rim,Deluxe Jacuzzi Panorama,1 large double bed,Fabulous,140.0,8.9,69.0
67,"Thong Takian, Lamai",Standard Triple Room,"2 beds (1 extra-large double, 1 sofa bed)",Good,78.0,7.8,412.0
68,Don Sak,Superior Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 193.8feet²1 large double bed,Good,19.0,7.9,289.0
69,Ban Khun Yuam,Budget Double Room,1 extra-large double bed,Fabulous,24.0,8.7,184.0
70,"Laguna Phuket, Bang Tao Beach",Banyan Pool Villa,"Entire villa • 1 bedroom • 1 bathroom • 1,829.9feet²1 extra-large double bed",Fabulous,672.0,8.8,273.0
71,"Chaweng Beachfront, Chaweng",Garden Wing Superior Room,2 single beds,Very good,43.0,8.4,277.0
72,Tab Kaek Beach,Superior Room,1 large double bed,Superb,362.0,9.1,262.0
73,"Phra Ae Beach, Ko Lanta",Standard Double Room,1 extra-large double bed,Superb,73.0,9.0,51.0
74,Haad Chao Samran,Superior Double or Twin Room,Beds: 1 double or 2 singles,Very good,64.0,8.5,218.0
75,Choeng Mon Beach,Deluxe Room,Multiple bed types,Superb,255.0,9.2,699.0
76,Suan Phung,Standard Double Room with Bath,1 extra-large double bed,Good,43.0,7.6,390.0
77,Mu Si,One-Bedroom Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 699.7feet²2 beds (1 extra-large double, 1 sofa bed)",Fabulous,43.0,8.7,698.0
78,Ban Bang Pit Lang,Double or Twin Room with Sea View,"3 beds (2 singles, 1 large double)",Good,37.0,7.7,63.0
79,Railay Beach,Grand Deluxe Double Room (Sunset Wing),1 extra-large double bed,Good,187.0,7.5,1112.0
80,Naklua,Superior Double or Twin Room with Garden View,Beds: 1 double or 2 singles,Good,43.0,7.4,319.0
81,"Bangsak Beach, Khao Lak",Deluxe Garden Balcony - King Bed,1 extra-large double bed,Superb,214.0,9.1,341.0
82,Sawankhalok,Superior Twin Room,2 single beds,Very good,43.0,8.2,42.0
83,Mae Rim,Deluxe Jacuzzi Panorama,1 large double bed,Fabulous,126.0,8.9,69.0
84,"Thong Takian, Lamai",Standard Family Triple,"2 beds (1 sofa bed, 1 large double)",Good,43.0,7.8,412.0
85,Klaeng,Deluxe Double or Twin Room,Multiple bed types,Very good,43.0,8.2,172.0
86,Ban Huai Thawai,Double Room with Mountain View,1 extra-large double bed,Fabulous,112.0,8.9,71.0
87,Ban Bang Po,Deluxe Villa,Entire villa • 1 bedroom • 1 bathroom • 430.6feet²1 extra-large double bed,Very good,72.0,8.5,364.0
88,Don Sak,Superior Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 193.8feet²1 large double bed,Good,19.0,7.9,289.0
89,Ban Khun Yuam,Budget Double Room,1 extra-large double bed,Fabulous,23.0,8.7,184.0
90,"Kalim Beach, Patong Beach",Special Offer Ocean Room Partial Seaview,Multiple bed types,Very good,183.0,8.3,1691.0
91,"Tri Trang Beach, Patong Beach",Deluxe Seaview,Beds: 1 double or 2 singles,Very good,43.0,8.0,1234.0
92,Ban Wang Sai,Deluxe King Room,1 double bed,Good,122.0,7.6,402.0
93,Ban Pa Khlok,Double Room,1 extra-large double bed,Superb,43.0,9.0,183.0
94,Chumphon,Standard Room,1 extra-large double bed,Very good,41.0,8.4,383.0
95,Patong Beach,One Bedroom Suite Ocean Coral Lounge,Private suite1 large double bed,Very good,359.0,8.3,1153.0
96,Khao Lak,Deluxe Double or Twin Room - Family Wing,Beds: 1 double or 2 singles,Fabulous,205.0,8.9,168.0
97,Ban Nam Tok,Deluxe Double or Twin Room with Garden View,Multiple bed types,Very good,83.0,8.4,33.0
98,Pak Chong,Superior Room,Beds: 1 double or 2 singles,Very good,108.0,8.4,186.0
99,"Nang Thong Beach, Khao Lak",Sands Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,43.0,8.8,547.0
100,Natai Beach,Deluxe Pool Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 1,237.9feet²2 beds (1 extra-large double, 1 sofa bed)",Fabulous,43.0,8.9,125.0
101,Bang Sare,Double Room with Sea View,1 extra-large double bed,Fabulous,167.0,8.7,113.0
102,"Laguna Phuket, Bang Tao Beach",Laguna Room,Multiple bed types,Very good,425.0,8.2,381.0
103,Nan,Standard Double Room,1 extra-large double bed,Superb,43.0,9.0,391.0
104,Mae Haad,Garden Villa,1 double bed,Very good,43.0,8.0,364.0
105,Ban Chang,Deluxe Studio,Entire studio • 1 bathroom • 344.4feet²1 large double bed,Exceptional,50.0,9.5,46.0
106,Nai Harn Beach,Deluxe King or Twin Room,Multiple bed types,Very good,43.0,8.5,296.0
107,"Klong Kloi Beach, Ko Chang",Superior Double Room,1 extra-large double bed,Very good,43.0,8.4,115.0
108,Ko Mak,Hilltop Sea View Room,1 extra-large double bed,Very good,71.0,8.2,229.0
109,"Fisherman Village, Bophut",Tropical Deluxe Room,1 extra-large double bed,Very good,151.0,8.3,195.0
110,Mai Khao Beach,"Deluxe Room, 1 King, Garden View",1 extra-large double bed,Superb,339.0,9.1,575.0
111,That Phanom,Small Double Room,1 large double bed,Very good,20.0,8.1,57.0
112,"Leela Beach, Haad Rin",Deluxe Double or Twin Room with Pool Access,1 large double bed,Very good,156.0,8.4,721.0
113,Ko Chang,Deluxe Double Room with Bath,1 large double bed,Very good,110.0,8.4,94.0
114,Karon Beach,Twin Deluxe Garden View,2 single beds,Very good,296.0,8.5,1201.0
115,Mon Jam,Tent,Tent1 large double bed,Very good,48.0,8.1,310.0
116,Kamala Beach,Studio with Sea View,Multiple bed types,Very good,43.0,8.5,785.0
117,Ban Thap Sai,Deluxe Mountain View Room,Beds: 1 double or 2 singles,Fabulous,69.0,8.7,55.0
118,Hua Hin,Standard King Room with Mountain View,1 extra-large double bed,Fabulous,131.0,8.6,575.0
119,Mu Si,Plantation View,1 double bed,Fabulous,43.0,8.8,392.0
120,Mae Nam,Superior Bungalow,Beds: 1 double or 2 singles,Very good,43.0,8.0,931.0
121,Mai Khao Beach,Two-Bedroom Apartment with Balcony and Resort View,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 1,076.4feet²4 beds (2 doubles, 1 extra-large double, 1 sofa bed)",Superb,893.0,9.3,122.0
122,Lipa Noi,Garden view Villa with Private Pool,Entire villa • 1 bedroom • 1 living room • 1 bathroom • 376.7feet²1 large double bed,Fabulous,102.0,8.6,380.0
123,Natai Beach,Grand Deluxe Pool Villa,1 large double bed,Fabulous,43.0,8.7,68.0
124,Bangna,Two-Bedroom Residence,Multiple bed types,Very good,100.0,8.3,578.0
125,Mai Khao Beach,"Deluxe Room, 1 King, Garden View",1 extra-large double bed,Superb,339.0,9.1,575.0
126,That Phanom,Small Double Room,1 large double bed,Very good,20.0,8.1,57.0
127,"Leela Beach, Haad Rin",Deluxe Double or Twin Room with Pool Access,1 large double bed,Very good,156.0,8.4,721.0
128,Ko Chang,Deluxe Double Room with Bath,1 large double bed,Very good,110.0,8.4,94.0
129,Karon Beach,Twin Deluxe Garden View,2 single beds,Very good,296.0,8.5,1201.0
130,Mon Jam,Tent,Tent1 large double bed,Very good,48.0,8.1,310.0
131,Kamala Beach,Studio with Sea View,Multiple bed types,Very good,43.0,8.5,785.0
132,Ban Thap Sai,Deluxe Mountain View Room,Beds: 1 double or 2 singles,Fabulous,69.0,8.7,55.0
133,Hua Hin,Standard King Room with Mountain View,1 extra-large double bed,Fabulous,131.0,8.6,575.0
134,Mu Si,Plantation View,1 double bed,Fabulous,43.0,8.8,392.0
135,Mae Nam,Superior Bungalow,Beds: 1 double or 2 singles,Very good,43.0,8.0,931.0
136,Mai Khao Beach,Two-Bedroom Apartment with Balcony and Resort View,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 1,076.4feet²4 beds (2 doubles, 1 extra-large double, 1 sofa bed)",Superb,893.0,9.3,122.0
137,Lipa Noi,Garden view Villa with Private Pool,Entire villa • 1 bedroom • 1 living room • 1 bathroom • 376.7feet²1 large double bed,Fabulous,102.0,8.6,380.0
138,Natai Beach,Grand Deluxe Pool Villa,1 large double bed,Fabulous,43.0,8.7,68.0
139,Bangna,Two-Bedroom Residence,Multiple bed types,Very good,43.0,8.3,578.0
140,"Haad Rin Nai, Haad Rin",Superior Room,"2 beds (1 single, 1 double)",Good,43.0,7.1,615.0
141,"Wat Ket, Chiang Mai",Garden View Suite,Private suite • 1 bedroom • 1 living room • 1 bathroom • 549feet²1 double bed,Superb,225.0,9.3,102.0
142,Rawai Beach,Junior Suite with Garden View,Multiple bed types,Superb,292.0,9.0,748.0
143,Na Jomtien,Deluxe Family Room (2 Adults + 2 Children),"3 beds (2 bunk beds, 1 large double)",Very good,43.0,8.3,468.0
144,Tab Kaek Beach,Deluxe Pool view,2 single beds,Very good,43.0,8.3,125.0
145,Mu Si,One-Bedroom Villa with Private Pool,"Entire villa • 1 bedroom • 1 living room • 1 bathroom • 2,152.8feet²2 beds (1 sofa bed, 1 large double)",Superb,185.0,9.0,375.0
146,"Nang Thong Beach, Khao Lak",Deluxe Double or Twin Room with Garden View,Multiple bed types,Very good,43.0,8.3,160.0
147,Trat,Superior Twin Room with Lake View,2 single beds,Fabulous,34.0,8.6,66.0
148,"Si Phum, Chiang Mai",Deluxe Double Room -  2 Persons Only,1 double bed,Fabulous,111.0,8.9,617.0
149,Pang Mapha,Standard Double Room with Fan,1 large double bed,Very good,12.0,8.1,40.0
150,Railay Beach,Standard Queen Room with Two Queen Beds,2 double beds,Review score,49.0,6.9,1030.0
151,Thong Pha Phum,Superior Twin Room with Garden View,2 single beds,Good,43.0,7.1,57.0
152,Chiang Saen,King Room with Balcony,1 double bed,Fabulous,51.0,8.7,59.0
153,Kui Buri,Studio,Beds: 1 double or 2 singles,Very good,43.0,8.2,130.0
154,Mae Hong Son,Standard Double or Twin Room,Beds: 1 double or 2 singles,Good,34.0,7.4,99.0
155,Salad Beach,Superior Double - Balcony Sea Breeze,1 extra-large double bed,Good,120.0,7.3,360.0
156,Haad Pleayleam,Double Room with Fan,1 double bed,Review score,51.0,6.8,206.0
157,Si Sawat,Hillside Superior Room,"2 beds (1 single, 1 double)",Good,61.0,7.0,102.0
158,Sai Yok,Tent River View,Tent2 futon beds,Very good,43.0,8.0,261.0
159,Pattaya North,Deluxe Ocean View King,1 extra-large double bed,Very good,136.0,8.4,1087.0
160,Patong Beach,Standard Room,Multiple bed types,Fabulous,221.0,8.9,1221.0
161,Ko Yao Yai,Bamboo Superior Double or Twin Room,Multiple bed types,Very good,100.0,8.3,206.0
162,Mae Hong Son,Deluxe Queen Room with Two Queen Beds,2 double beds,Fabulous,20.0,8.9,374.0
163,"Chaweng City Center , Chaweng",Deluxe Garden Twin,2 single beds,Superb,43.0,9.4,420.0
164,Mae Salong,Standard King Room,1 extra-large double bed,Very good,46.0,8.3,71.0
165,Kaeng Krachan,Superior Double Room,1 large double bed,Fabulous,43.0,8.6,157.0
166,Chom Thong,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 161.5feet²2 single beds,Very good,29.0,8.3,113.0
167,Mai Khao Beach,Grande Terrace - Double Room with Two Double Beds and Garden View,2 double beds,Fabulous,402.0,8.8,291.0
168,Bangrak Beach,Deluxe Double or Twin Room,Multiple bed types,Good,57.0,7.2,617.0
169,"Ko Lipe Sunrise Beach, Ko Lipe",SeaBreeze Deluxe Plus,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Very good,132.0,8.1,332.0
170,Chai Nat,Deluxe Double Room,1 extra-large double bed,Superb,27.0,9.0,44.0
171,"Chang Khlan, Chiang Mai",Riverfront Colonial Suite,Private suite1 large double bed,Superb,823.0,9.2,187.0
172,Ao Nang Beach,Deluxe King,1 extra-large double bed,Fabulous,151.0,8.8,671.0
173,Amphoe Kumphawapi,Premier Lakeview Room,1 large double bed,Exceptional,43.0,9.6,18.0
174,Phimai,Bungalow - Water Front,Entire bungalow • 1 bedroom • 1 bathroom • 161.5feet²1 large double bed,Very good,20.0,8.1,104.0
175,Panwa Beach,Two-Bedroom Suite with Sea View,"Private suite • 2 bedrooms • 1 bathroom • 1,216.3feet²4 beds (2 singles, 1 sofa bed, 1 large double)",Fabulous,358.0,8.9,268.0
176,Nong Nam Daeng,Deluxe Twin Room,2 single beds,Good,43.0,7.8,126.0
177,Karon Beach,Deluxe Room,Beds: 1 double or 2 singles,Good,43.0,7.8,142.0
178,Ban Bang Po,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Good,43.0,7.9,73.0
179,Ban Pak Ba Ra,Deluxe Twin Room,1 single bed,Good,24.0,7.6,130.0
181,Taling Ngam Beach,Resort Classic Twin Room,2 single beds,Fabulous,263.0,8.9,122.0
182,"Tapao Beach, Ko Kood",Superior Twin Room with Garden View,2 single beds,Very good,43.0,8.4,202.0
183,Ban Pa Ruak,Superior Double Room,1 extra-large double bed,Good,19.0,7.7,56.0
184,Kanchanaburi,Superior King Room,1 extra-large double bed,Very good,43.0,8.2,501.0
185,Ko Yao Yai,Grand Superior Room,"2 beds (1 extra-large double, 1 sofa bed)",Superb,43.0,9.1,108.0
186,Kamala Beach,Classic King Room,1 extra-large double bed,Superb,380.0,9.1,542.0
187,Suan Phung,Twin Room with Terrace,2 futon beds,Good,34.0,7.5,135.0
188,Pai,Boutique Grand Village,1 large double bed,Superb,43.0,9.0,828.0
189,"Chaweng Noi Beachfront, Chaweng Noi Beach","Deluxe, Guest room, 2 Twin/Single Bed(s)",2 single beds,Very good,249.0,8.5,134.0
190,Bophut,Deluxe Terrace Room,Multiple bed types,Superb,43.0,9.0,969.0
191,Ban Nong Chum Saeng,Studio with Lake View,Entire studio • 258.3feet²1 extra-large double bed,Good,19.0,7.8,73.0
192,"Chaweng Noi Beachfront, Chaweng Noi Beach",Superior Double or Twin Room,Multiple bed types,Very good,43.0,8.1,113.0
193,Ko Sukon,Superior Bungalow with Fan,Beds: 1 double or 2 singles,Fabulous,20.0,8.9,42.0
194,Patong Beach,Deluxe Twin Room,2 single beds,Very good,143.0,8.3,1414.0
195,Pattaya North,Deluxe Room Twin,2 single beds,Very good,114.0,8.3,2136.0
196,Choeng Mon Beach,Deluxe Double Room with Balcony,1 extra-large double bed,Superb,327.0,9.2,583.0
197,Klong Muang Beach,Sala Villa Upper Garden,"Entire villa • 1 bedroom • 1 bathroom • 602.8feet²2 beds (1 sofa bed, 1 large double)",Superb,262.0,9.0,106.0
198,"Loh Dalum Bay, Phi Phi Don",Superior Twin Room with Pool View,2 single beds,Good,134.0,7.4,1258.0
199,"Loh Bagao Bay, Phi Phi Don",Superior Garden Bungalow 2 Twin,2 single beds,Very good,485.0,8.5,1288.0
200,Phayayen,Vana Country View Suite,Multiple bed types,Good,43.0,7.9,239.0
201,Ao Nang Beach,Superior Double or Twin Room with Garden View,Multiple bed types,Very good,43.0,8.1,543.0
202,"Hua Hin Night Market, Hua Hin",Classic King Room with Ocean View,1 extra-large double bed,Very good,158.0,8.2,1806.0
203,Por Bay,Deluxe Double Room with Sea View,1 extra-large double bed,Superb,118.0,9.2,232.0
204,Ban Khun Yuam,Deluxe King Room,1 extra-large double bed,Good,17.0,7.1,33.0
205,Chiang Khan,King Room with Balcony,1 extra-large double bed,Very good,39.0,8.2,142.0
206,Pathiu,Superior Double Room,1 large double bed,Good,43.0,7.8,398.0
207,Ban Dong Bang,Deluxe Double Room with Shower,1 extra-large double bed,Exceptional,31.0,9.5,17.0
208,"Nang Thong Beach, Khao Lak",Leaf Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,81.0,8.6,316.0
209,"Ko Klang, Krabi town",Garden view Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 688.9feet²1 double bed,Fabulous,43.0,8.9,326.0
210,Pai,Deluxe Twin Room with Pool Access,2 single beds,Superb,43.0,9.4,298.0
211,Sam Roi Yot,Lotus Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 742.7feet²2 beds (1 extra-large double, 1 sofa bed)",Very good,71.0,8.1,50.0
212,Choeng Mon Beach,Hideaway Villa,"Entire villa • 1 bedroom • 1 bathroom • 1,399.3feet²1 extra-large double bed",Fabulous,568.0,8.9,97.0
213,Ban Cho Lae,Budget Double Room,1 large double bed,Fabulous,28.0,8.8,49.0
214,"Sai Kaew Beach, Ko Samed",Chalet Deluxe,1 extra-large double bed,Very good,43.0,8.5,284.0
215,"Long Beach, Phi Phi Don",Superior Villa-Free Transfer to Tonsai Pier,Entire villa • 1 bedroom • 1 bathroom • 322.9feet²1 large double bed,Very good,137.0,8.5,944.0
216,Chalong,Villa,1 large double bed,Fabulous,43.0,8.7,340.0
217,Ko Yao Yai,Superior Villa,Entire villa • 1 bedroom • 1 bathroom • 473.6feet²1 double bed,Fabulous,43.0,8.9,216.0
218,Hua Hin,"Superior, Guest room, 2 Double, Resort view",2 large double beds,Fabulous,182.0,8.8,606.0
219,Khao Kho,Standard Twin Room,2 single beds,Good,43.0,7.4,19.0
220,Pai,Deluxe Twin Room with Pool Access,2 single beds,Superb,169.0,9.4,298.0
221,Sam Roi Yot,Lotus Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 742.7feet²2 beds (1 extra-large double, 1 sofa bed)",Very good,65.0,8.1,50.0
222,Choeng Mon Beach,Hideaway Villa,"Entire villa • 1 bedroom • 1 bathroom • 1,399.3feet²1 extra-large double bed",Fabulous,568.0,8.9,97.0
223,Ban Cho Lae,Budget Double Room,1 large double bed,Fabulous,26.0,8.8,49.0
224,"Sai Kaew Beach, Ko Samed",Chalet Deluxe,1 extra-large double bed,Very good,43.0,8.5,284.0
225,"Long Beach, Phi Phi Don",Superior Villa-Free Transfer to Tonsai Pier,Entire villa • 1 bedroom • 1 bathroom • 322.9feet²1 large double bed,Very good,124.0,8.5,944.0
226,Chalong,Treetop Duplex Pool Villa,"Entire villa • 1 bedroom • 1 living room • 2 bathrooms • 2,152.8feet²2 beds (1 extra-large double, 1 sofa bed)",Fabulous,391.0,8.7,340.0
227,Ko Yao Yai,Superior Villa,Entire villa • 1 bedroom • 1 bathroom • 473.6feet²1 double bed,Fabulous,43.0,8.9,216.0
228,Hua Hin,"Superior, Guest room, 2 Double, Resort view",2 large double beds,Fabulous,182.0,8.8,606.0
229,Khao Kho,Standard Twin Room,2 single beds,Good,53.0,7.4,19.0
230,Thong Nai Pan Noi,Deluxe King Room,1 extra-large double bed,Superb,43.0,9.0,468.0
231,Tha Sala,Deluxe Twin Room,2 single beds,Very good,26.0,8.5,167.0
232,Ko Kho Khao,Superior Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 419.8feet²1 large double bed,Superb,98.0,9.3,101.0
233,"Bangsak Beach, Khao Lak",Villa Garden,Private suite1 extra-large double bed,Very good,43.0,8.3,83.0
234,"Ao Phai, Ko Samed",Deluxe Double Room,1 extra-large double bed,Good,89.0,7.7,369.0
235,Layan Beach,Deluxe Villa with Private Pool,1 extra-large double bed,Superb,1096.0,9.2,196.0
236,Kaeng Khoi,Deluxe King Studio,Entire studio • 1 bathroom • 226feet²1 extra-large double bed,Very good,32.0,8.4,50.0
237,Sa Kaeo,Standard King Room,1 large double bed,Good,23.0,7.3,82.0
238,Dan Sai,Deluxe Twin Room,2 single beds,Good,71.0,7.8,9.0
239,Ban Thung Lakhon,Holiday Home,Entire holiday home • 1 bedroom • 1 bathroom • 247.6feet²1 extra-large double bed,Superb,43.0,9.0,7.0
240,Hin Dat,Floating House,2 single beds,Review score,43.0,6.7,88.0
241,Chaweng Noi Beach,Standard Double Room with Sea View,1 double bed,Very good,43.0,8.0,73.0
242,Mae Sariang,Double Room,1 large double bed,Good,43.0,7.9,85.0
243,Phitsanulok,Twin Room with Garden View,2 single beds,Fabulous,38.0,8.7,214.0
244,"Kai Bae Beach, Ko Chang",Grand Deluxe Sea View,Multiple bed types,Fabulous,124.0,8.6,405.0
245,Ban Ta Phraya,One-Bedroom Chalet,Entire chalet • 1 bedroom • 1 bathroom • 538.2feet²1 double bed,Review score,14.0,5.4,7.0
